MONLOC_AB,StartDate,StartTime,DataLoggerLineName,Deployment,ProjectIdentifier,ActivityIdentifier,ActivityMediaName,CharacteristicName,ResultMeasureValue,ResultMeasureUnitCode,DataType,UseForCalc,COMMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,13:15:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.51,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,13:30:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.52,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,13:45:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.55,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,14:00:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.57,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,14:15:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.57,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,14:30:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.6,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,14:45:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.64,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,15:00:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.65,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,15:15:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.66,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,15:30:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.65,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,15:45:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.69,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,16:00:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.73,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,16:15:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.7,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,16:30:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.73,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,16:45:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.73,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,17:00:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.78,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,17:15:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.83,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,17:30:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.85,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,17:45:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.84,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH2,09/27/2023,18:00:00,21119018,2023Fall,HohRiverPrj1,HOHTH2_20230927_2023Fall_TS,Water,"Temperature, water",10.86,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
