MONLOC_AB,StartDate,StartTime,DataLoggerLineName,Deployment,ProjectIdentifier,ActivityIdentifier,ActivityMediaName,CharacteristicName,ResultMeasureValue,ResultMeasureUnitCode,DataType,UseForCalc,COMMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH1,05/15/2024,17:00:00,21337448,2024Sum,HohRiverPrj1,HOHTH1_20240515_2024Sum_TS,Water,"Temperature, water",16.844,deg C,Raw,0,Side channel not reflective of main stem conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH1,05/15/2024,17:15:00,21337448,2024Sum,HohRiverPrj1,HOHTH1_20240515_2024Sum_TS,Water,"Temperature, water",16.844,deg C,Raw,0,Side channel not reflective of main stem conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH1,05/15/2024,17:30:00,21337448,2024Sum,HohRiverPrj1,HOHTH1_20240515_2024Sum_TS,Water,"Temperature, water",16.868,deg C,Raw,0,Side channel not reflective of main stem conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH1,05/15/2024,17:45:00,21337448,2024Sum,HohRiverPrj1,HOHTH1_20240515_2024Sum_TS,Water,"Temperature, water",16.892,deg C,Raw,0,Side channel not reflective of main stem conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH1,05/15/2024,18:00:00,21337448,2024Sum,HohRiverPrj1,HOHTH1_20240515_2024Sum_TS,Water,"Temperature, water",16.82,deg C,Raw,0,Side channel not reflective of main stem conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH1,05/15/2024,18:15:00,21337448,2024Sum,HohRiverPrj1,HOHTH1_20240515_2024Sum_TS,Water,"Temperature, water",16.868,deg C,Raw,0,Side channel not reflective of main stem conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH1,05/15/2024,18:30:00,21337448,2024Sum,HohRiverPrj1,HOHTH1_20240515_2024Sum_TS,Water,"Temperature, water",16.82,deg C,Raw,0,Side channel not reflective of main stem conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH1,05/15/2024,18:45:00,21337448,2024Sum,HohRiverPrj1,HOHTH1_20240515_2024Sum_TS,Water,"Temperature, water",16.749,deg C,Raw,0,Side channel not reflective of main stem conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH1,05/15/2024,19:00:00,21337448,2024Sum,HohRiverPrj1,HOHTH1_20240515_2024Sum_TS,Water,"Temperature, water",16.701,deg C,Raw,0,Side channel not reflective of main stem conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH1,05/15/2024,19:15:00,21337448,2024Sum,HohRiverPrj1,HOHTH1_20240515_2024Sum_TS,Water,"Temperature, water",16.654,deg C,Raw,0,Side channel not reflective of main stem conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOHTH1,05/15/2024,19:30:00,21337448,2024Sum,HohRiverPrj1,HOHTH1_20240515_2024Sum_TS,Water,"Temperature, water",16.63,deg C,Raw,0,Side channel not reflective of main stem conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
