Plot Title: Cottonwood_5_13_2022,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 10699494, SEN S/N: 10699494)"
1,05/13/2022 17:00:00,8.519
2,05/13/2022 17:15:00,8.519
3,05/13/2022 17:30:00,8.494
4,05/13/2022 17:45:00,8.494
5,05/13/2022 18:00:00,8.469
6,05/13/2022 18:15:00,8.469
7,05/13/2022 18:30:00,8.444
8,05/13/2022 18:45:00,8.444
9,05/13/2022 19:00:00,8.394
10,05/13/2022 19:15:00,8.369
11,05/13/2022 19:30:00,8.344
12,05/13/2022 19:45:00,8.344
13,05/13/2022 20:00:00,8.319
14,05/13/2022 20:15:00,8.295
15,05/13/2022 20:30:00,8.27
16,05/13/2022 20:45:00,8.245
17,05/13/2022 21:00:00,8.195
18,05/13/2022 21:15:00,8.195
19,05/13/2022 21:30:00,8.17
20,05/13/2022 21:45:00,8.145
21,05/13/2022 22:00:00,8.12
22,05/13/2022 22:15:00,8.095
23,05/13/2022 22:30:00,8.07
24,05/13/2022 22:45:00,8.07
25,05/13/2022 23:00:00,8.045
26,05/13/2022 23:15:00,8.02
27,05/13/2022 23:30:00,7.995
28,05/13/2022 23:45:00,7.995
29,05/14/2022 00:00:00,7.995
30,05/14/2022 00:15:00,7.97
31,05/14/2022 00:30:00,7.945
32,05/14/2022 00:45:00,7.945
33,05/14/2022 01:00:00,7.945
34,05/14/2022 01:15:00,7.945
35,05/14/2022 01:30:00,7.92
36,05/14/2022 01:45:00,7.92
37,05/14/2022 02:00:00,7.92
38,05/14/2022 02:15:00,7.895
39,05/14/2022 02:30:00,7.895
40,05/14/2022 02:45:00,7.895
41,05/14/2022 03:00:00,7.895
42,05/14/2022 03:15:00,7.895
43,05/14/2022 03:30:00,7.895
44,05/14/2022 03:45:00,7.895
45,05/14/2022 04:00:00,7.895
46,05/14/2022 04:15:00,7.895
47,05/14/2022 04:30:00,7.895
48,05/14/2022 04:45:00,7.895
49,05/14/2022 05:00:00,7.895
50,05/14/2022 05:15:00,7.895
51,05/14/2022 05:30:00,7.895
52,05/14/2022 05:45:00,7.92
53,05/14/2022 06:00:00,7.92
54,05/14/2022 06:15:00,7.92
55,05/14/2022 06:30:00,7.92
56,05/14/2022 06:45:00,7.945
57,05/14/2022 07:00:00,7.945
58,05/14/2022 07:15:00,7.945
59,05/14/2022 07:30:00,7.945
60,05/14/2022 07:45:00,7.97
61,05/14/2022 08:00:00,7.97
62,05/14/2022 08:15:00,7.995
63,05/14/2022 08:30:00,7.995
64,05/14/2022 08:45:00,8.02
65,05/14/2022 09:00:00,8.045
66,05/14/2022 09:15:00,8.07
67,05/14/2022 09:30:00,8.095
68,05/14/2022 09:45:00,8.12
69,05/14/2022 10:00:00,8.145
70,05/14/2022 10:15:00,8.195
71,05/14/2022 10:30:00,8.245
72,05/14/2022 10:45:00,8.295
73,05/14/2022 11:00:00,8.369
74,05/14/2022 11:15:00,8.444
75,05/14/2022 11:30:00,8.494
76,05/14/2022 11:45:00,8.568
77,05/14/2022 12:00:00,8.643
78,05/14/2022 12:15:00,8.693
79,05/14/2022 12:30:00,8.742
80,05/14/2022 12:45:00,8.767
81,05/14/2022 13:00:00,8.792
82,05/14/2022 13:15:00,8.841
83,05/14/2022 13:30:00,8.841
84,05/14/2022 13:45:00,8.866
85,05/14/2022 14:00:00,8.891
86,05/14/2022 14:15:00,8.916
87,05/14/2022 14:30:00,8.941
88,05/14/2022 14:45:00,8.965
89,05/14/2022 15:00:00,8.99
90,05/14/2022 15:15:00,8.99
91,05/14/2022 15:30:00,8.99
92,05/14/2022 15:45:00,9.015
93,05/14/2022 16:00:00,9.015
94,05/14/2022 16:15:00,9.04
95,05/14/2022 16:30:00,9.04
96,05/14/2022 16:45:00,9.04
97,05/14/2022 17:00:00,9.04
98,05/14/2022 17:15:00,9.04
99,05/14/2022 17:30:00,9.04
100,05/14/2022 17:45:00,9.04
101,05/14/2022 18:00:00,9.04
102,05/14/2022 18:15:00,9.04
103,05/14/2022 18:30:00,9.04
104,05/14/2022 18:45:00,9.015
105,05/14/2022 19:00:00,9.015
106,05/14/2022 19:15:00,8.99
107,05/14/2022 19:30:00,8.99
108,05/14/2022 19:45:00,8.99
