Plot Title: East Pole_5_19_22,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 21337444, SEN S/N: 21337444)"
1,05/19/2022 17:00:00,8.195
2,05/19/2022 17:15:00,8.195
3,05/19/2022 17:30:00,8.17
4,05/19/2022 17:45:00,8.17
5,05/19/2022 18:00:00,8.17
6,05/19/2022 18:15:00,8.17
7,05/19/2022 18:30:00,8.17
8,05/19/2022 18:45:00,8.17
9,05/19/2022 19:00:00,8.145
10,05/19/2022 19:15:00,8.145
11,05/19/2022 19:30:00,8.145
12,05/19/2022 19:45:00,8.12
13,05/19/2022 20:00:00,8.095
14,05/19/2022 20:15:00,8.095
15,05/19/2022 20:30:00,8.07
16,05/19/2022 20:45:00,8.045
17,05/19/2022 21:00:00,7.995
18,05/19/2022 21:15:00,7.97
19,05/19/2022 21:30:00,7.92
20,05/19/2022 21:45:00,7.895
21,05/19/2022 22:00:00,7.845
22,05/19/2022 22:15:00,7.795
23,05/19/2022 22:30:00,7.77
24,05/19/2022 22:45:00,7.72
25,05/19/2022 23:00:00,7.695
26,05/19/2022 23:15:00,7.645
27,05/19/2022 23:30:00,7.619
28,05/19/2022 23:45:00,7.569
29,05/20/2022 00:00:00,7.544
30,05/20/2022 00:15:00,7.494
31,05/20/2022 00:30:00,7.469
32,05/20/2022 00:45:00,7.444
33,05/20/2022 01:00:00,7.419
34,05/20/2022 01:15:00,7.419
35,05/20/2022 01:30:00,7.393
36,05/20/2022 01:45:00,7.393
37,05/20/2022 02:00:00,7.393
38,05/20/2022 02:15:00,7.393
39,05/20/2022 02:30:00,7.368
40,05/20/2022 02:45:00,7.343
41,05/20/2022 03:00:00,7.318
42,05/20/2022 03:15:00,7.293
43,05/20/2022 03:30:00,7.242
44,05/20/2022 03:45:00,7.242
45,05/20/2022 04:00:00,7.217
46,05/20/2022 04:15:00,7.192
47,05/20/2022 04:30:00,7.167
48,05/20/2022 04:45:00,7.142
49,05/20/2022 05:00:00,7.116
50,05/20/2022 05:15:00,7.091
51,05/20/2022 05:30:00,7.066
52,05/20/2022 05:45:00,7.041
53,05/20/2022 06:00:00,7.015
54,05/20/2022 06:15:00,6.99
55,05/20/2022 06:30:00,6.99
56,05/20/2022 06:45:00,6.965
57,05/20/2022 07:00:00,6.965
58,05/20/2022 07:15:00,6.965
59,05/20/2022 07:30:00,6.965
60,05/20/2022 07:45:00,6.965
61,05/20/2022 08:00:00,6.99
62,05/20/2022 08:15:00,7.015
63,05/20/2022 08:30:00,7.041
64,05/20/2022 08:45:00,7.091
65,05/20/2022 09:00:00,7.142
66,05/20/2022 09:15:00,7.167
67,05/20/2022 09:30:00,7.217
68,05/20/2022 09:45:00,7.268
69,05/20/2022 10:00:00,7.343
70,05/20/2022 10:15:00,7.393
71,05/20/2022 10:30:00,7.444
72,05/20/2022 10:45:00,7.519
73,05/20/2022 11:00:00,7.569
74,05/20/2022 11:15:00,7.645
75,05/20/2022 11:30:00,7.695
76,05/20/2022 11:45:00,7.77
77,05/20/2022 12:00:00,7.87
78,05/20/2022 12:15:00,8.045
79,05/20/2022 12:30:00,8.12
80,05/20/2022 12:45:00,8.17
81,05/20/2022 13:00:00,8.22
82,05/20/2022 13:15:00,8.344
83,05/20/2022 13:30:00,8.444
84,05/20/2022 13:45:00,8.494
85,05/20/2022 14:00:00,8.543
86,05/20/2022 14:15:00,8.593
87,05/20/2022 14:30:00,8.668
88,05/20/2022 14:45:00,8.693
89,05/20/2022 15:00:00,8.693
90,05/20/2022 15:15:00,8.767
91,05/20/2022 15:30:00,8.792
92,05/20/2022 15:45:00,8.817
93,05/20/2022 16:00:00,8.841
94,05/20/2022 16:15:00,8.841
95,05/20/2022 16:30:00,8.891
96,05/20/2022 16:45:00,8.866
97,05/20/2022 17:00:00,8.841
98,05/20/2022 17:15:00,8.841
99,05/20/2022 17:30:00,8.841
100,05/20/2022 17:45:00,8.841
101,05/20/2022 18:00:00,8.792
102,05/20/2022 18:15:00,8.792
103,05/20/2022 18:30:00,8.767
104,05/20/2022 18:45:00,8.742
105,05/20/2022 19:00:00,8.742
106,05/20/2022 19:15:00,8.717
107,05/20/2022 19:30:00,8.693
108,05/20/2022 19:45:00,8.668
109,05/20/2022 20:00:00,8.643
110,05/20/2022 20:15:00,8.618
