MONLOC_AB,StartDate,StartTime,DataLoggerLineName,Deployment,ProjectIdentifier,ActivityIdentifier,ActivityMediaName,CharacteristicName,ResultMeasureValue,ResultMeasureUnitCode,DataType,UseForCalc,COMMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFKALTH1,09/28/2023,10:45:00,21119058,2023Fall,HohRiverPrj1,WFKALTH1_20230928_2023Fall_TS,Water,"Temperature, water",12.03,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFKALTH1,09/28/2023,11:00:00,21119058,2023Fall,HohRiverPrj1,WFKALTH1_20230928_2023Fall_TS,Water,"Temperature, water",12.03,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFKALTH1,09/28/2023,11:15:00,21119058,2023Fall,HohRiverPrj1,WFKALTH1_20230928_2023Fall_TS,Water,"Temperature, water",12.06,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFKALTH1,09/28/2023,11:30:00,21119058,2023Fall,HohRiverPrj1,WFKALTH1_20230928_2023Fall_TS,Water,"Temperature, water",12.04,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFKALTH1,09/28/2023,11:45:00,21119058,2023Fall,HohRiverPrj1,WFKALTH1_20230928_2023Fall_TS,Water,"Temperature, water",12.07,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFKALTH1,09/28/2023,12:00:00,21119058,2023Fall,HohRiverPrj1,WFKALTH1_20230928_2023Fall_TS,Water,"Temperature, water",12.06,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFKALTH1,09/28/2023,12:15:00,21119058,2023Fall,HohRiverPrj1,WFKALTH1_20230928_2023Fall_TS,Water,"Temperature, water",12.05,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFKALTH1,09/28/2023,12:30:00,21119058,2023Fall,HohRiverPrj1,WFKALTH1_20230928_2023Fall_TS,Water,"Temperature, water",12.06,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFKALTH1,09/28/2023,12:45:00,21119058,2023Fall,HohRiverPrj1,WFKALTH1_20230928_2023Fall_TS,Water,"Temperature, water",12.07,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFKALTH1,09/28/2023,13:00:00,21119058,2023Fall,HohRiverPrj1,WFKALTH1_20230928_2023Fall_TS,Water,"Temperature, water",12.08,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFKALTH1,09/28/2023,13:15:00,21119058,2023Fall,HohRiverPrj1,WFKALTH1_20230928_2023Fall_TS,Water,"Temperature, water",12.12,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
