MONLOC_AB,StartDate,StartTime,DataLoggerLineName,Deployment,ProjectIdentifier,ActivityIdentifier,ActivityMediaName,CharacteristicName,ResultMeasureValue,ResultMeasureUnitCode,DataType,UseForCalc,COMMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,17:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",11.73,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,17:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",11.7,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,17:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",11.64,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,17:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",11.58,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,18:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",11.53,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,18:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",11.42,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,18:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",11.32,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,18:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",11.22,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,19:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",11.14,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,19:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",11.05,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,19:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",10.97,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,19:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",10.86,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,20:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",10.79,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,20:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",10.72,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,20:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",10.65,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,20:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",10.57,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,21:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",10.5,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,21:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",10.43,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,21:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",10.41,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,21:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",10.3,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,22:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",10.25,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,22:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",10.22,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,22:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",10.15,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,22:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",10.11,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,23:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",10.06,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,23:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",10,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,23:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",9.95,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/10/2024,23:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240510_2024Sum_TS,Water,"Temperature, water",9.92,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,00:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.89,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,00:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.83,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,00:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.81,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,00:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.78,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,01:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.72,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,01:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.69,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,01:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.68,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,01:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.64,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,02:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.59,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,02:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.59,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,02:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.56,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,02:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",9.51,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
