site,grp_type
Alder,core_sal_supp1
AndersonLower,core_sal
AndersonUpper,core_sal
BradenLower,core_sal
BradenUpper,core_sal
CanyonSprings,core_sal
CedarLower,core_sal_supp2
CedarUpper,core_sal
ChalaatLower,core_sal
ChalaatUpper,core_sal
Cottonwood,core_sal
CrippenSprings,core_sal
EastPole,core_sal
EastPole,core_sal
EFIronMaiden,core_sal
EFKalaloch,core_sal
ElkLower,core_sal_supp1
ElkUpper,core_sal
Fletcher,core_sal
GoodmanLower,core_sal_supp2
GoodmanUpper,core_sal
HellRoaring,core_sal
HohAnderson,core_sal_supp1
HohBarlows,core_sal_supp1
HohCampground,char
HohONP,char
HohWilloughby,core_sal_supp1
Hoot,char
Jackson,char
Line,char
Lost,core_sal
MapleLower,core_sal
MapleUpper,core_sal
McQuarryFisher,char
Mosquito,core_sal
MountTom,char
NFWinfield,core_sal
NolanLower,core_sal_supp1
NolanMiddle,core_sal_supp1
NolanUpper,core_sal
OwlLower,core_sal_supp1
OwlUpper,core_sal
Pins,core_sal
Rock,core_sal
SFHoh,char
SixMile,core_sal
Snider,char
Split,char
Taft,char
Tower,core_sal_supp1
TwinLower,char
TwinUpper,char
WestPole,core_sal
WFIronMaiden,core_sal
WFKalaloch,core_sal
Willoughby,core_sal_supp1
WinfieldLower,core_sal_supp1
WinfieldUpper,core_sal_supp1
